公司全称,公司简称,品牌,产品系列,型号,类型,价格 (元),主要用途,发布时间,身高 (cm),重量 (kg),自由度,最大速度 (m/s),续航时间 (h),算力平台,传感器配置,认证资质,销售渠道,官网链接,事故总数,伤亡人数,机损金额 (元),物损金额 (元),2023 年销量,2024 年销量,2025 年销量,累计销量,2025 年市占率,2025 年营收 (万元),核心客户类型,海外销量占比,毛利率,销售数据来源
智元创新（上海）科技股份有限公司,智元机器人,Agibot,远征 A2,A2 旗舰版,人形机器人,298000,工业作业/商用服务,2025-08,169,69,40,1.2,3.0,NVIDIA Jetson Orin 64G,3D 激光雷达+RGB-D 相机+RGB 相机 + 鱼眼相机,CR/CE-MD/CE-RED/FCC,官网商城/企业直销,https://www.zhiyuan-robot.com,1,0,250000,0,-,350,1200,1550,14%,35760,车企/3C/物流,5%,45%,企业发布
智元创新（上海）科技股份有限公司,智元机器人,Agibot,远征 A2,A2 青春版,人形机器人,198000,教育科研/展示,2025-08,169,64,23,0.8,4.5,16 核高性能 CPU,WiFi,无,官网商城,https://www.zhiyuan-robot.com,0,0,0,0,-,280,980,1260,12%,19404,教育/科研,3%,42%,企业发布
智元创新（上海）科技股份有限公司,智元机器人,Agibot,智元灵犀,X2 旗舰版,人形机器人,158000,科研开发/教育,2025-06,145,45,28,1.0,2.5,Orin NX,深度相机+IMU,CE,官网商城/经销商,https://www.zhiyuan-robot.com,0,0,0,0,-,120,380,500,4%,6004,科研/教育,8%,40%,估算
智元创新（上海）科技股份有限公司,智元机器人,Agibot,智元灵犀,X2 青春版,人形机器人,98000,教育/个人开发者,2025-06,145,42,20,0.8,3.0,Orin Nano,深度相机,无,官网商城,https://agibotmall.com,0,0,0,0,-,80,180,260,2%,1764,教育/个人,5%,38%,估算
智元创新（上海）科技股份有限公司,智元机器人,Agibot,智元灵犀,X1,人形机器人,68000,教育开源/科研,2024-12,140,40,18,0.6,2.0,Jetson Nano,RGB 相机,无,官网商城,https://www.zhiyuan-robot.com,0,0,0,0,,,,,,,,,,
智元创新（上海）科技股份有限公司,智元机器人,Agibot,智元精灵,G2,工业四足机器人,128000,工业巡检/安防,2025-03,65,35,16,2.5,4.0,Orin NX,激光雷达 + 深度相机,CE/FCC,企业直销,https://www.zhiyuan-robot.com,0,0,0,0,,,,,,,,,,
智元创新（上海）科技股份有限公司,智元机器人,Agibot,智元精灵,G1,四足机器人,58000,教育科研/开发,2024-08,55,25,12,2.0,3.5,Jetson Orin,深度相机+IMU,无,官网商城,https://www.zhiyuan-robot.com,0,0,0,0,,,,,,,,,,
智元创新（上海）科技股份有限公司,智元机器人,Agibot,智元酷拓,D1 Ultra,四足机器人,88000,行业应用/巡检,2025-01,60,30,16,3.0,3.0,Orin NX,激光雷达+RGBD,CE,企业直销,https://www.zhiyuan-robot.com,0,0,0,0,,,,,,,,,,
智元创新（上海）科技股份有限公司,智元机器人,Agibot,智元酷拓,D1 Pro,四足机器人,48000,教育/开发,2024-10,55,25,12,2.5,2.5,Jetson Orin,RGB 相机,无,官网商城,https://www.zhiyuan-robot.com,0,0,0,0,,,,,,,,,,
智元创新（上海）科技股份有限公司,智元机器人,Agibot,智元酷拓,D1 Edu,四足机器人,36000,教育/竞赛,2024-10,50,20,12,2.0,2.0,Jetson Nano,RGB 相机,无,官网商城,https://www.zhiyuan-robot.com,0,0,0,0,,,,,,,,,,
智元创新（上海）科技股份有限公司,智元机器人,Agibot,智元绝尘,C5,商用清洁机器人,168000,商业清洁,2025-04,85,120,6,1.5,6.0,工业 PC,激光雷达 + 深度相机,CE,企业直销,https://www.zhiyuan-robot.com,0,0,0,0,,,,,,,,,,
智元创新（上海）科技股份有限公司,智元机器人,Agibot,OminiHand,灵动款 2025,灵巧手,14800,机器人配件,2025-02,-,0.8,6,-,-,嵌入式 MCU,触觉传感器,无,官网商城,https://agibotmall.com,0,0,0,0,,,,,,,,,,
智元创新（上海）科技股份有限公司,智元机器人,Agibot,OminiHand,专业款 2025,灵巧手,49800,机器人配件,2025-02,-,1.2,11,-,-,嵌入式 MCU,触觉 + 力觉传感器,无,官网商城,https://agibotmall.com,0,0,0,0,,,,,,,,,,
杭州宇树科技有限公司,宇树科技,Unitree,H2,H2,人形机器人,650000,科研/工业,2024-11,180,80,28,2.0,2.0,Intel i7+GPU,深度相机+IMU+ 力觉,CE/FCC,官网/经销商,https://www.unitree.com,0,0,0,0,120,380,850,1350,10%,55250,科研/工业,15%,52%,企业发布
杭州宇树科技有限公司,宇树科技,Unitree,H1,H1-2,人形机器人,450000,科研/开发,2023-08,175,70,24,1.8,1.5,Intel i5,深度相机+IMU,CE,官网/经销商,https://www.unitree.com,0,0,0,0,,,,,,,,,,
杭州宇树科技有限公司,宇树科技,Unitree,G1,G1,人形机器人,198000,教育/科研,2024-05,130,35,20,1.5,2.0,Jetson Orin,深度相机+IMU,无,官网商城,https://www.unitree.com,0,0,0,0,180,520,1100,1800,13%,21780,教育/科研,12%,48%,企业发布
杭州宇树科技有限公司,宇树科技,Unitree,Go2,Go2,四足机器人,39800,消费级/教育,2023-06,40,12,12,2.5,2.0,Jetson Orin,深度相机+IMU,CE/FCC,官网商城/京东,https://www.unitree.com,1,0,15000,0,2800,6500,12500,21800,35%,49750,消费/教育,25%,55%,企业发布
杭州宇树科技有限公司,宇树科技,Unitree,Go2-W,Go2-W,四足机器人,68000,工业巡检,2024-02,45,18,12,3.0,3.0,Jetson Orin,激光雷达 + 深度相机,CE,企业直销,https://www.unitree.com,0,0,0,0,,,,,,,,,,
杭州宇树科技有限公司,宇树科技,Unitree,B2,B2,工业四足机器人,198000,工业巡检/安防,2023-10,70,45,16,3.5,4.0,Intel i7,激光雷达 + 深度相机 + 热成像,CE/FCC,企业直销,https://www.unitree.com,0,0,0,0,280,680,1250,2210,28%,24750,工业巡检,18%,50%,估算
杭州宇树科技有限公司,宇树科技,Unitree,A2,A2,工业四足机器人,128000,行业应用,2024-06,60,35,12,3.0,3.5,Jetson Orin,激光雷达+IMU,CE,官网/经销商,https://www.unitree.com,0,0,0,0,,,,,,,,,,
杭州宇树科技有限公司,宇树科技,Unitree,As2,As2,教育四足机器人,29800,教育/开发,2025-01,35,8,12,2.0,1.5,Jetson Nano,深度相机,无,官网商城,https://www.unitree.com,0,0,0,0,,,,,,,,,,
杭州宇树科技有限公司,宇树科技,Unitree,R1,R1,人形机器人,98000,教育/竞赛,2024-08,120,30,18,1.2,1.5,Jetson Orin,深度相机+IMU,无,官网商城,https://www.unitree.com,0,0,0,0,,,,,,,,,,
杭州宇树科技有限公司,宇树科技,Unitree,L2,L2,4D 激光雷达,48000,传感器配件,2024-10,-,2.5,-,-,-,-,4D 激光雷达,-,官网商城,https://www.unitree.com,0,0,0,0,,,,,,,,,,
杭州宇树科技有限公司,宇树科技,Unitree,Z1,Z1,机械臂,88000,工业操作,2023-05,-,15,6,-,-,嵌入式 MCU,力觉传感器,CE,官网/经销商,https://www.unitree.com,0,0,0,0,,,,,,,,,,
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流机器人,Klaus-Stacker S1,堆垛机,850000,仓储物流/自动化立体库,2024-03,-,2800,-,-,1.8,-,PLC+ 伺服系统,激光导航 + 条码定位,CE,企业直销/项目定制,https://www.klaus.com.cn,0,0,0,850,1200,1500,3550,15%,127500,仓储物流,0%,38%,估算
浙江凯乐士科技集团股份有限公司,凯乐士科技,Klaus,智能物流机器人,Klaus-Stacker S2,堆垛机,1200000,重型仓储/自动化立体库,2024-03,-,3500,-,-,1.5,-,PLC+ 伺服系统,激光导航 + 条码定位,CE,企业直销/项目定制,https://www.klaus.com.cn,0,0,0,,,,,,,,,,
