品牌,型号,价格 (元),主要用途,使用者类型,三者险建议限额 (万),机损基准费率 (%),三者险基准费率 (%),机损免赔额 (元),三者险免赔额 (元),最终费率 (%),年保费参考 (元),预期赔付率 (%),2021 年销量,2022 年销量,2023 年销量,2024 年销量,2021 年事故数,2022 年事故数,2023 年事故数,2024 年事故数,事故总数 (2021 起),人员伤亡数,机损金额 (元),物损金额 (元)
大疆 DJI,Mini 4 Pro,7499,航拍,个人用户,50,1.8,0.6,300,500,1.37,299,58,3000000,3500000,4000000,4500000,280,310,350,310,1250,15,6800000,2500000
大疆 DJI,Air 3,12499,航拍,个人用户,100,1.8,0.6,500,500,1.46,599,62,2000000,2500000,2800000,3000000,220,260,280,220,980,12,7500000,3200000
大疆 DJI,Mavic 3 Pro,14499,专业航拍,专业飞手,150,2.0,0.8,1000,1000,1.39,899,59,1500000,1800000,2000000,2200000,150,180,190,130,650,8,7200000,3800000
大疆 DJI,Matrice 350 RTK,35999,电力巡检,企业用户,300,2.8,1.2,5000,5000,2.38,3500,52,500000,600000,700000,800000,25,32,35,28,120,3,6500000,2800000
XAG 极飞,P150 2025 款,89999,农业植保,企业用户,500,3.5,1.5,3000,5000,5.53,8500,58,120000,150000,180000,210000,22,26,28,19,95,2,2800000,1200000
JOUAV 纵横,CW-15,129999,测绘勘察,企业用户,500,3.0,1.8,10000,10000,3.96,12000,50,50000,65000,80000,95000,10,12,13,7,42,1,1800000,750000
大疆 DJI,Mini SE,5999,娱乐飞行,个人用户,50,2.2,0.6,300,500,1.54,249,56,2200000,2600000,2900000,3100000,150,180,200,170,700,8,4200000,1680000
大疆 DJI,Air 2,11999,航拍,个人用户,100,2.0,0.7,500,500,1.52,499,59,650000,750000,850000,900000,85,100,115,100,400,4,4000000,1600000
大疆 DJI,Inspire 2,32999,影视专业,企业用户,200,2.5,0.9,5000,5000,2.7,6500,54,280000,340000,390000,420000,45,55,62,58,220,4,6600000,2640000
大疆 DJI,Mavic 3M,38999,农业多光谱,企业用户,200,2.8,1.0,5000,5000,3.08,4200,53,180000,210000,240000,260000,38,45,52,48,183,4,5490000,2196000
Autel 道通,EVO Nano,9999,航拍,个人用户,100,2.0,0.8,500,500,1.68,329,58,150000,175000,195000,210000,55,65,72,68,260,5,2340000,936000
Autel 道通,EVO Lite,14999,航拍,个人用户,100,2.0,0.8,500,500,1.68,479,59,120000,140000,160000,175000,42,50,58,52,202,4,2828000,1131200
XAG 极飞,P40 2024 款,79999,农业植保,企业用户,500,3.5,1.5,3000,5000,5.25,7200,57,85000,100000,115000,125000,28,35,40,38,141,4,5640000,2256000
JOUAV 纵横,CW-15E,159999,测绘勘察,企业用户,500,3.0,1.8,10000,10000,4.2,14500,51,28000,35000,40000,45000,8,10,12,11,41,2,2460000,984000
Yuneec 昊翔,H520,24999,电力巡检,企业用户,200,2.8,1.0,3000,3000,3.02,2800,55,55000,65000,72000,78000,18,22,25,23,88,4,1760000,704000
Skydio,Skydio X10,16999,电力巡检,企业用户,200,2.2,1.0,1000,1000,2.35,799,52,42000,50000,58000,62000,12,15,18,16,61,2,915000,366000
Parrot 派诺特,ANAFI Ai,27999,电力巡检,企业用户,200,2.5,1.0,2000,2000,2.75,1500,54,65000,75000,82000,88000,15,18,20,19,72,4,1440000,576000
